code,type,subtype,importance,identifier,other,message,moreInfo,context
ASO,aem.system.overview,cqtag.count,INFO,\N,\N,CQ Tagged asset count is '6'.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""cqTagCount"":""6""},""type"":""cqtag.count""}"
ASO,aem.system.overview,data.store,INFO,\N,\N,The data store type is FileDataStore.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""dataStore"":""FileDataStore""},""type"":""data.store""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/a/administrators,\N,The group administrators has 1 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""administrators"",""path"":""/home/groups/a/administrators"",""countOfUsers"":1,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/a/af-template-script-writers,\N,The group af-template-script-writers has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""af-template-script-writers"",""path"":""/home/groups/a/af-template-script-writers"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/a/analytics-administrators,\N,The group analytics-administrators has 1 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""analytics-administrators"",""path"":""/home/groups/a/analytics-administrators"",""countOfUsers"":1,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-administrators,\N,The group community-administrators has 1 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-administrators"",""path"":""/home/groups/community/community-administrators"",""countOfUsers"":1,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/LJqVGdyrS86U9718685x,\N,The group community-community-rqlgn-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-administrators"",""path"":""/home/groups/community/community-rqlgn/LJqVGdyrS86U9718685x"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/hbitwsA6Zr-4Wc9d8tHQ,\N,The group community-community-rqlgn-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/hbitwsA6Zr-4Wc9d8tHQ"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/I6xTzSF5pEuROAhX8ftX,\N,The group community-community-rqlgn-desert-hiking-rtpso-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-desert-hiking-rtpso-administrators"",""path"":""/home/groups/community/community-rqlgn/I6xTzSF5pEuROAhX8ftX"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/6Ahi27JbdlzowvMgK1nv,\N,The group community-community-rqlgn-desert-hiking-rtpso-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-desert-hiking-rtpso-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/6Ahi27JbdlzowvMgK1nv"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/6fxerssgDsTIDMnibzj2,\N,The group community-community-rqlgn-desert-hiking-rtpso-members has 0 users & 4 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-desert-hiking-rtpso-members"",""path"":""/home/groups/community/community-rqlgn/6fxerssgDsTIDMnibzj2"",""countOfUsers"":0,""countOfGroups"":4},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/F4-T9riStUDpDK11aDVK,\N,The group community-community-rqlgn-desert-hiking-rtpso-moderators has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-desert-hiking-rtpso-moderators"",""path"":""/home/groups/community/community-rqlgn/F4-T9riStUDpDK11aDVK"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/BK1-J4XDfyYcfkdWOWos,\N,The group community-community-rqlgn-groupadministrators has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-groupadministrators"",""path"":""/home/groups/community/community-rqlgn/BK1-J4XDfyYcfkdWOWos"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/qd2EDacvu8oll4CvsGJX,\N,The group community-community-rqlgn-hiking-rcauu-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-hiking-rcauu-administrators"",""path"":""/home/groups/community/community-rqlgn/qd2EDacvu8oll4CvsGJX"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/bnSbkkdE2H_nYdWddYHn,\N,The group community-community-rqlgn-hiking-rcauu-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-hiking-rcauu-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/bnSbkkdE2H_nYdWddYHn"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/88ZF-Z_yvyngTX4GXpVb,\N,The group community-community-rqlgn-hiking-rcauu-members has 0 users & 3 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-hiking-rcauu-members"",""path"":""/home/groups/community/community-rqlgn/88ZF-Z_yvyngTX4GXpVb"",""countOfUsers"":0,""countOfGroups"":3},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/ZOiOmWWJGXMz2oyKo7jJ,\N,The group community-community-rqlgn-hiking-rcauu-moderators has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-hiking-rcauu-moderators"",""path"":""/home/groups/community/community-rqlgn/ZOiOmWWJGXMz2oyKo7jJ"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/9qKKKhIRzVogoz0qVCVz,\N,The group community-community-rqlgn-members has 0 users & 9 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-members"",""path"":""/home/groups/community/community-rqlgn/9qKKKhIRzVogoz0qVCVz"",""countOfUsers"":0,""countOfGroups"":9},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/s7ZZQFXS3-GVok2gWDd0,\N,The group community-community-rqlgn-moderators has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-moderators"",""path"":""/home/groups/community/community-rqlgn/s7ZZQFXS3-GVok2gWDd0"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/P2ovhJgN1Cm2JKdquNFN,\N,The group community-community-rqlgn-privilegedmembers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-privilegedmembers"",""path"":""/home/groups/community/community-rqlgn/P2ovhJgN1Cm2JKdquNFN"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/zs17VC2lyRR6-sa79HsX,\N,The group community-community-rqlgn-running-p9ujb-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-running-p9ujb-administrators"",""path"":""/home/groups/community/community-rqlgn/zs17VC2lyRR6-sa79HsX"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/K0eE0ENJTnCJuNRa1Ezi,\N,The group community-community-rqlgn-running-p9ujb-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-running-p9ujb-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/K0eE0ENJTnCJuNRa1Ezi"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/symeQr3HjhFMCs6eFsAf,\N,The group community-community-rqlgn-running-p9ujb-members has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-running-p9ujb-members"",""path"":""/home/groups/community/community-rqlgn/symeQr3HjhFMCs6eFsAf"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/XkxWrDupJnfOzj267Jp_,\N,The group community-community-rqlgn-running-p9ujb-moderators has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-running-p9ujb-moderators"",""path"":""/home/groups/community/community-rqlgn/XkxWrDupJnfOzj267Jp_"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/tLS-acdmrWVh5lcNTznh,\N,The group community-community-rqlgn-sitecontentmanager has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-sitecontentmanager"",""path"":""/home/groups/community/community-rqlgn/tLS-acdmrWVh5lcNTznh"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/1ws9VjmDuCO3IokiC8Ot,\N,The group community-community-rqlgn-siteenablementmanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-siteenablementmanagers"",""path"":""/home/groups/community/community-rqlgn/1ws9VjmDuCO3IokiC8Ot"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/VKtWauxDG1IjbCd4iZEv,\N,The group community-community-rqlgn-skiing-mfpcv-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-skiing-mfpcv-administrators"",""path"":""/home/groups/community/community-rqlgn/VKtWauxDG1IjbCd4iZEv"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/_5ES6vlkmWtqBX5mfS9H,\N,The group community-community-rqlgn-skiing-mfpcv-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-skiing-mfpcv-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/_5ES6vlkmWtqBX5mfS9H"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/gM5I_Fb0kfzRU2ctQeW5,\N,The group community-community-rqlgn-skiing-mfpcv-members has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-skiing-mfpcv-members"",""path"":""/home/groups/community/community-rqlgn/gM5I_Fb0kfzRU2ctQeW5"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/1QQdY64ygP01XOmYe4gw,\N,The group community-community-rqlgn-skiing-mfpcv-moderators has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-skiing-mfpcv-moderators"",""path"":""/home/groups/community/community-rqlgn/1QQdY64ygP01XOmYe4gw"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/6ZYd7e17ScOyEjyF8uOl,\N,The group community-community-rqlgn-surfing-zcqya-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-surfing-zcqya-administrators"",""path"":""/home/groups/community/community-rqlgn/6ZYd7e17ScOyEjyF8uOl"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/9wu9klU7OG_hwTrxqvFC,\N,The group community-community-rqlgn-surfing-zcqya-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-surfing-zcqya-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/9wu9klU7OG_hwTrxqvFC"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/JffX5jKkndQQBf4mjbMt,\N,The group community-community-rqlgn-surfing-zcqya-members has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-surfing-zcqya-members"",""path"":""/home/groups/community/community-rqlgn/JffX5jKkndQQBf4mjbMt"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/O8UGfqUdcHbLvF2G4Gyu,\N,The group community-community-rqlgn-surfing-zcqya-moderators has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-surfing-zcqya-moderators"",""path"":""/home/groups/community/community-rqlgn/O8UGfqUdcHbLvF2G4Gyu"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/ZbgGaH86lzcqdZn6omDy,\N,The group community-community-rqlgn-wintersports-fqlju-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-wintersports-fqlju-administrators"",""path"":""/home/groups/community/community-rqlgn/ZbgGaH86lzcqdZn6omDy"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/VHDWSMtl-MAwEy8BYIjS,\N,The group community-community-rqlgn-wintersports-fqlju-communitymanagers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-wintersports-fqlju-communitymanagers"",""path"":""/home/groups/community/community-rqlgn/VHDWSMtl-MAwEy8BYIjS"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/Oz3xnkOyrbIp6dYpdn5c,\N,The group community-community-rqlgn-wintersports-fqlju-members has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-wintersports-fqlju-members"",""path"":""/home/groups/community/community-rqlgn/Oz3xnkOyrbIp6dYpdn5c"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-rqlgn/rIo-pXBTqOTEDJo_ITIa,\N,The group community-community-rqlgn-wintersports-fqlju-moderators has 0 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-community-rqlgn-wintersports-fqlju-moderators"",""path"":""/home/groups/community/community-rqlgn/rIo-pXBTqOTEDJo_ITIa"",""countOfUsers"":0,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-enablementmanagers,\N,The group community-enablementmanagers has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-enablementmanagers"",""path"":""/home/groups/community/community-enablementmanagers"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-group-administrators,\N,The group community-group-administrators has 0 users & 6 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-group-administrators"",""path"":""/home/groups/community/community-group-administrators"",""countOfUsers"":0,""countOfGroups"":6},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-groupadmin,\N,The group community-groupadmin has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-groupadmin"",""path"":""/home/groups/community/community-groupadmin"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-members,\N,The group community-members has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-members"",""path"":""/home/groups/community/community-members"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-moderators,\N,The group community-moderators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-moderators"",""path"":""/home/groups/community/community-moderators"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-site-administrators,\N,The group community-site-administrators has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-site-administrators"",""path"":""/home/groups/community/community-site-administrators"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/community/community-sitecontentmanager,\N,The group community-sitecontentmanager has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""community-sitecontentmanager"",""path"":""/home/groups/community/community-sitecontentmanager"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/c/xZcYFqrENBIAu8A2nRtE,\N,The group connectedassets-assets-techaccts has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""connectedassets-assets-techaccts"",""path"":""/home/groups/c/xZcYFqrENBIAu8A2nRtE"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/c/QCwX87W6o6--rYYLfN4V,\N,The group connectedassets-sites-techaccts has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""connectedassets-sites-techaccts"",""path"":""/home/groups/c/QCwX87W6o6--rYYLfN4V"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/c/content-authors,\N,The group content-authors has 3 users & 2 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""content-authors"",""path"":""/home/groups/c/content-authors"",""countOfUsers"":3,""countOfGroups"":2},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/c/contributor,\N,The group contributor has 0 users & 8 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""contributor"",""path"":""/home/groups/c/contributor"",""countOfUsers"":0,""countOfGroups"":8},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/mac/OEsmA8tEuvY-DuvE0G1x,\N,The group dam-mac-replication has 2 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""dam-mac-replication"",""path"":""/home/groups/mac/OEsmA8tEuvY-DuvE0G1x"",""countOfUsers"":2,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/d/dam-users,\N,The group dam-users has 4 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""dam-users"",""path"":""/home/groups/d/dam-users"",""countOfUsers"":4,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/e/everyone,\N,The group everyone has 167 users & 76 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""everyone"",""path"":""/home/groups/e/everyone"",""countOfUsers"":167,""countOfGroups"":76},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/e/experience-fragments-editors,\N,The group experience-fragments-editors has 2 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""experience-fragments-editors"",""path"":""/home/groups/e/experience-fragments-editors"",""countOfUsers"":2,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/forms/fd-administrators,\N,The group fd-administrators has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""fd-administrators"",""path"":""/home/groups/forms/fd-administrators"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/forms/forms-power-users,\N,The group forms-power-users has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""forms-power-users"",""path"":""/home/groups/forms/forms-power-users"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/forms/forms-script-writers,\N,The group forms-script-writers has 0 users & 1 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""forms-script-writers"",""path"":""/home/groups/forms/forms-script-writers"",""countOfUsers"":0,""countOfGroups"":1},""type"":""group.membership""}"
ASO,aem.system.overview,group.membership,INFO,/home/groups/f/forms-submission-reviewers,\N,The group forms-submission-reviewers has 0 users & 0 groups.,https://www.adobe.com/go/aem_pd_ASO,"{""data"":{""name"":""forms-submission-reviewers"",""path"":""/home/groups/f/forms-submission-reviewers"",""countOfUsers"":0,""countOfGroups"":0},""type"":""group.membership""}"
